# Per-cobra open-loop response of the two blind moves, measured 2026-09-14 with the
# dots rotated 90 deg in theta so both moves were visible to MCS.
#
# landingGain: measured phi change over commanded, for the ramp's move to the
#   landing fraction, whose start is the measured iteration-7 angle.
# targetGain:  the same for the move to dotTarget, commanded as a fraction of the
#   chord from the tracker's belief that it is at the landing fraction.
#
# The two are only weakly related (r = 0.39), so one gain cannot stand for both.
# dotTarget for a depth D, given the measured iteration-7 angle phi7:
#   landed = phi7 + landingGain * (phiAt(landing) - phi7)
#   dotTarget = landing + (phiAt(D) - landed) / (targetGain * chord)
# calibrated False means the fleet default applies.
cobraId,landingGain,targetGain,calibrated
694,1.3138,0.9551,True
695,1.0342,1.1080,True
696,1.0855,1.2027,True
697,1.0723,1.1707,True
698,1.1593,1.3979,True
699,1.0915,1.1250,True
700,1.0355,1.0756,True
701,1.1836,1.1824,True
702,0.8856,1.0547,True
703,1.0214,1.0474,True
704,0.8746,0.9335,True
705,1.0343,0.9189,True
706,1.1253,1.1812,True
707,1.0505,0.9727,True
708,0.9365,0.9544,True
709,0.9186,0.8791,True
710,1.2123,0.9168,True
711,1.1699,0.8727,True
712,1.0000,1.0000,False
713,0.9551,1.0227,True
714,1.0762,1.0509,True
715,1.0264,0.9086,True
716,0.9956,0.8569,True
717,0.9347,0.8990,True
718,1.0815,0.9690,True
719,1.5868,0.6546,True
720,0.9957,0.8645,True
721,1.0030,0.9598,True
722,0.9397,0.9610,True
723,0.8790,0.9409,True
724,1.2025,0.9952,True
725,0.9585,0.7772,True
726,1.0035,1.1892,True
727,1.2248,1.0240,True
728,0.9260,0.9512,True
729,0.8767,1.0226,True
730,0.9376,0.8523,True
731,0.8975,0.9817,True
732,1.0565,0.9820,True
733,0.9402,0.9901,True
734,1.0484,1.0236,True
735,0.9332,0.9650,True
736,1.2303,0.8485,True
737,0.8588,0.9366,True
738,1.0000,1.0000,False
739,0.7909,0.8186,True
740,0.9623,1.0666,True
741,1.1010,1.1967,True
742,0.8511,1.0601,True
743,1.0943,1.0239,True
744,1.1091,0.9050,True
745,0.9354,0.7913,True
746,0.9230,0.7260,True
747,1.0676,1.1096,True
748,1.0204,0.9979,True
749,0.9342,1.0699,True
750,1.0767,1.0209,True
751,1.1973,0.7360,True
752,0.9435,0.9153,True
753,1.0511,0.9332,True
754,1.0000,1.0000,False
755,0.9105,0.9678,True
756,1.0800,0.9487,True
757,1.1740,1.0194,True
758,1.1103,0.9269,True
759,1.1462,1.1947,True
760,1.0936,1.1608,True
761,1.0096,0.9219,True
762,1.0898,1.0181,True
763,0.9062,1.0812,True
764,1.1776,0.8961,True
765,1.0395,1.0217,True
766,1.2088,1.2231,True
767,1.1626,1.0500,True
768,1.2909,1.0979,True
769,0.9579,1.1007,True
770,0.9267,1.3042,True
771,1.1417,1.7787,True
772,0.9259,0.9651,True
773,1.0043,1.0739,True
774,1.0369,0.9876,True
775,0.9513,0.9997,True
776,1.1357,0.9955,True
777,1.1734,0.9237,True
778,1.0714,0.8145,True
779,1.0922,1.0932,True
780,1.0222,0.8656,True
781,1.0610,1.0638,True
782,1.0161,0.8726,True
783,1.0871,1.1134,True
784,1.2063,1.0557,True
785,1.0144,0.9843,True
786,1.0240,0.6673,True
787,1.1390,0.9308,True
788,1.1297,1.0432,True
789,0.8579,0.8083,True
790,1.2016,1.4168,True
791,1.0687,0.9388,True
792,1.2180,0.7642,True
793,0.9862,1.1237,True
794,1.1157,0.9477,True
795,0.7342,1.2473,True
796,0.9659,1.1437,True
797,0.9481,1.1538,True
798,1.1695,0.9282,True
799,1.0000,1.0000,False
800,0.9794,1.0511,True
801,1.1149,1.1579,True
802,1.0991,0.8981,True
803,1.2006,1.1950,True
804,1.1336,1.1465,True
805,1.1983,0.8622,True
806,1.2853,1.0064,True
807,1.0829,0.8936,True
808,1.2488,1.1067,True
809,1.0317,1.0161,True
810,0.9079,0.8713,True
811,1.0461,0.9822,True
812,1.1627,1.1076,True
813,1.1135,1.4309,True
814,1.2963,1.3760,True
815,1.0541,1.1867,True
816,1.0687,0.9645,True
817,1.0762,0.8111,True
818,1.0337,0.9481,True
819,0.9175,1.1566,True
820,0.9205,0.7285,True
821,1.0000,1.0000,False
822,1.0546,0.9260,True
823,1.1832,1.0478,True
824,1.1548,1.1597,True
825,1.1162,1.1008,True
826,1.0361,1.2027,True
827,1.0312,0.8605,True
828,1.0111,1.0326,True
829,1.0206,1.0071,True
830,1.0815,1.0425,True
831,0.9170,0.9080,True
832,1.0920,0.9570,True
833,0.8897,1.0852,True
834,1.0668,1.0300,True
835,0.9000,1.2785,True
836,1.0575,0.8890,True
837,1.0842,0.9691,True
838,0.9883,1.0561,True
839,1.0005,0.8824,True
840,0.9981,1.0035,True
841,1.0556,0.9610,True
842,0.9795,1.1385,True
843,1.0000,1.0000,False
844,1.0203,1.2764,True
845,0.8670,1.1374,True
846,1.3952,1.2680,True
847,1.1092,1.1638,True
848,1.2926,0.8603,True
849,1.0171,0.8419,True
850,0.9604,0.7353,True
851,1.0716,1.1127,True
852,1.0255,0.9204,True
853,1.0000,1.0000,False
854,0.9909,0.9357,True
855,1.0596,0.9688,True
856,1.0000,1.0000,False
857,0.9028,1.1242,True
858,1.0467,0.8689,True
859,0.9752,1.1067,True
