id_dot,x_dot,y_dot,r_dot
755,2489.37,4370.64,9.9168
756,2579.64,4315.46,9.92322
757,2486.64,4264.26,9.91748
758,2576.92,4209.05,9.92384
759,2483.93,4157.86,9.91809
760,2574.23,4102.61,9.92441
761,2481.25,4051.43,9.918660000000001
762,2571.56,3996.15,9.92487
763,2478.58,3944.99,9.919089999999999
764,2568.91,3889.67,9.925289999999999
765,2475.94,3838.53,9.91948
766,2566.28,3783.18,9.92562
767,2473.32,3732.06,9.9198
768,2563.68,3676.68,9.92595
769,2470.72,3625.58,9.92008
770,2561.09,3570.17,9.926169999999999
771,2468.14,3519.09,9.92025
772,2558.52,3463.65,9.92633
773,2465.59,3412.6,9.92035
774,2555.98,3357.13,9.92643
775,2463.05,3306.1,9.92037
776,2553.46,3250.61,9.92645
777,2460.54,3199.61,9.92035
778,2550.96,3144.1,9.92639
779,2458.06,3093.12,9.92021
780,2548.48,3037.59,9.92627
781,2455.59,2986.63,9.91997
782,2546.02,2931.08,9.92605
783,2453.15,2880.16,9.91964
784,2543.59,2824.59,9.9257
785,2450.72,2773.7,9.91917
786,2541.17,2718.11,9.92528
787,2448.33,2667.25,9.918569999999999
788,2538.78,2611.65,9.92473
789,2445.95,2560.82,9.91785
790,2536.41,2505.21,9.92402
791,2443.6,2454.42,9.917019999999999
792,2534.06,2398.79,9.923210000000001
793,2441.27,2348.04,9.91593
794,2531.73,2292.39,9.922189999999999
795,2438.97,2241.68,9.91462
796,2529.43,2186.03,9.92095
797,2436.69,2135.36,9.91315
798,2527.15,2079.7,9.91957
799,5147.26,3616.0,10.0296
